question_id,method,mrr,hit_rate,latency_ms,recall@1,precision@1,ndcg@1,recall@3,precision@3,ndcg@3,recall@5,precision@5,ndcg@5,recall@10,precision@10,ndcg@10,failure_type
q_0000,hybrid,1.0,1.0,1.143198999670858,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0001,hybrid,1.0,1.0,0.392439999814087,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0002,hybrid,0.2,1.0,0.2440170001136721,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.3868528072345416,1.0,0.1,0.3868528072345416,PASS
q_0003,hybrid,1.0,1.0,0.2275169999848003,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0004,hybrid,0.1428571428571428,1.0,0.2433009995002066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.3333333333333333,RERANKING_FAILURE
q_0006,hybrid,1.0,1.0,0.1916800001708907,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0007,hybrid,0.5,1.0,0.2526000007492257,0.0,0.0,0.0,1.0,0.3333333333333333,0.6309297535714575,1.0,0.2,0.6309297535714575,1.0,0.1,0.6309297535714575,PASS
q_0008,hybrid,1.0,1.0,0.207080000109272,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0010,hybrid,1.0,1.0,0.2467189997332752,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0011,hybrid,1.0,1.0,0.2183010001317598,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0012,hybrid,0.25,1.0,0.2030300001933938,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.430676558073393,1.0,0.1,0.430676558073393,PASS
q_0013,hybrid,1.0,1.0,0.4069160004291916,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0014,hybrid,0.1666666666666666,1.0,0.6887699992148555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.3562071871080222,RERANKING_FAILURE
q_0016,hybrid,1.0,1.0,0.3859989992633927,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0017,hybrid,0.5,1.0,0.2865910000764415,0.0,0.0,0.0,1.0,0.3333333333333333,0.6309297535714575,1.0,0.2,0.6309297535714575,1.0,0.1,0.6309297535714575,PASS
q_0018,hybrid,1.0,1.0,0.2475669998602825,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0020,hybrid,1.0,1.0,0.2640239999891491,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0021,hybrid,0.5,1.0,0.2433370000289869,0.0,0.0,0.0,1.0,0.3333333333333333,0.6309297535714575,1.0,0.2,0.6309297535714575,1.0,0.1,0.6309297535714575,PASS
q_0022,hybrid,0.25,1.0,0.205203000405163,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.430676558073393,1.0,0.1,0.430676558073393,PASS
q_0023,hybrid,0.5,1.0,0.2461120002408279,0.0,0.0,0.0,1.0,0.3333333333333333,0.6309297535714575,1.0,0.2,0.6309297535714575,1.0,0.1,0.6309297535714575,PASS
q_0024,hybrid,0.125,1.0,0.2045510000243666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.3154648767857287,RERANKING_FAILURE
q_0026,hybrid,1.0,1.0,0.2134249998562154,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0027,hybrid,1.0,1.0,0.2369559997532633,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0028,hybrid,0.5,1.0,0.259213999925123,0.0,0.0,0.0,1.0,0.3333333333333333,0.6309297535714575,1.0,0.2,0.6309297535714575,1.0,0.1,0.6309297535714575,PASS
q_0030,hybrid,0.5,1.0,0.2148189996660221,0.0,0.0,0.0,1.0,0.3333333333333333,0.6309297535714575,1.0,0.2,0.6309297535714575,1.0,0.1,0.6309297535714575,PASS
q_0031,hybrid,1.0,1.0,0.2148670000678976,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0032,hybrid,0.1428571428571428,1.0,0.354710999999952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.3333333333333333,RERANKING_FAILURE
q_0033,hybrid,1.0,1.0,0.23415599935106,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0034,hybrid,0.1111111111111111,1.0,0.2730219994191429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.3010299956639812,RERANKING_FAILURE
q_0036,hybrid,1.0,1.0,0.2151160006178543,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0037,hybrid,0.3333333333333333,1.0,0.282654000329785,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,1.0,0.2,0.5,1.0,0.1,0.5,PASS
q_0038,hybrid,1.0,1.0,0.2054579999821726,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0040,hybrid,1.0,1.0,0.249452000389283,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0041,hybrid,0.25,1.0,0.2174109995394246,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.430676558073393,1.0,0.1,0.430676558073393,PASS
q_0042,hybrid,0.125,1.0,0.3846869994958979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.3154648767857287,RERANKING_FAILURE
q_0043,hybrid,1.0,1.0,0.2196839996031485,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0044,hybrid,0.1,1.0,0.2416910001556971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.2890648263178879,RERANKING_FAILURE
q_0046,hybrid,1.0,1.0,0.1866409993453999,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0047,hybrid,1.0,1.0,0.2818189996105502,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0048,hybrid,0.5,1.0,0.2341999997952371,0.0,0.0,0.0,1.0,0.3333333333333333,0.6309297535714575,1.0,0.2,0.6309297535714575,1.0,0.1,0.6309297535714575,PASS
q_0050,hybrid,0.25,1.0,0.222561000555288,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.430676558073393,1.0,0.1,0.430676558073393,PASS
q_0051,hybrid,1.0,1.0,0.2415710005152505,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0052,hybrid,0.1111111111111111,1.0,0.2085989999613957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.3010299956639812,RERANKING_FAILURE
q_0053,hybrid,1.0,1.0,0.2672370001164381,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0054,hybrid,0.25,1.0,0.2020689998971647,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.430676558073393,1.0,0.1,0.430676558073393,PASS
q_0056,hybrid,1.0,1.0,0.207998000405496,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0057,hybrid,1.0,1.0,0.2643169991642935,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0058,hybrid,1.0,1.0,0.2030530004049069,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0060,hybrid,1.0,1.0,0.2664849998836871,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0061,hybrid,1.0,1.0,0.2400299999862909,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0062,hybrid,0.1,1.0,0.204212000426196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.2890648263178879,RERANKING_FAILURE
q_0063,hybrid,1.0,1.0,0.2110590003212564,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0064,hybrid,1.0,1.0,0.2002819992412696,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0066,hybrid,1.0,1.0,0.2404449996902258,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0067,hybrid,1.0,1.0,0.2370470001551439,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0068,hybrid,1.0,1.0,0.2288229998157476,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0070,hybrid,1.0,1.0,0.2447129991196561,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0071,hybrid,1.0,1.0,0.260351000179071,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0072,hybrid,1.0,1.0,0.2086300000883056,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0073,hybrid,1.0,1.0,0.2533490005589556,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0074,hybrid,0.3333333333333333,1.0,0.2033199998550117,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,1.0,0.2,0.5,1.0,0.1,0.5,PASS
q_0076,hybrid,1.0,1.0,0.2192880001530284,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0077,hybrid,1.0,1.0,0.2635190003275056,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0078,hybrid,1.0,1.0,0.2001730008487356,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0080,hybrid,1.0,1.0,0.212954000744503,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0081,hybrid,1.0,1.0,0.2308539997102343,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0082,hybrid,0.3333333333333333,1.0,0.2550429999246262,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,1.0,0.2,0.5,1.0,0.1,0.5,PASS
q_0083,hybrid,1.0,1.0,0.2201679999416228,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0084,hybrid,0.5,1.0,0.202123999770265,0.0,0.0,0.0,1.0,0.3333333333333333,0.6309297535714575,1.0,0.2,0.6309297535714575,1.0,0.1,0.6309297535714575,PASS
q_0086,hybrid,0.5,1.0,0.2366939997955341,0.0,0.0,0.0,1.0,0.3333333333333333,0.6309297535714575,1.0,0.2,0.6309297535714575,1.0,0.1,0.6309297535714575,PASS
q_0087,hybrid,0.5,1.0,0.2339740003662882,0.0,0.0,0.0,1.0,0.3333333333333333,0.6309297535714575,1.0,0.2,0.6309297535714575,1.0,0.1,0.6309297535714575,PASS
q_0088,hybrid,1.0,1.0,0.1975039995159022,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0090,hybrid,1.0,1.0,0.2106480005750199,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0091,hybrid,1.0,1.0,0.2107569998770486,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0092,hybrid,0.2,1.0,0.2256839998153736,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.3868528072345416,1.0,0.1,0.3868528072345416,PASS
q_0093,hybrid,1.0,1.0,0.3201609997631749,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0094,hybrid,0.1428571428571428,1.0,0.2434420002828119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.3333333333333333,RERANKING_FAILURE
q_0096,hybrid,1.0,1.0,0.206741999136284,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0097,hybrid,0.5,1.0,0.2324330007468233,0.0,0.0,0.0,1.0,0.3333333333333333,0.6309297535714575,1.0,0.2,0.6309297535714575,1.0,0.1,0.6309297535714575,PASS
q_0098,hybrid,1.0,1.0,0.2007389994105324,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0100,hybrid,1.0,1.0,0.2096040007018018,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0101,hybrid,1.0,1.0,0.2096480002364842,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0102,hybrid,0.25,1.0,0.2045600003839354,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.430676558073393,1.0,0.1,0.430676558073393,PASS
q_0103,hybrid,1.0,1.0,0.2167060001738718,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0104,hybrid,0.1666666666666666,1.0,0.2091720007229014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.3562071871080222,RERANKING_FAILURE
q_0106,hybrid,1.0,1.0,0.2112430001943721,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0107,hybrid,0.5,1.0,0.274152000201866,0.0,0.0,0.0,1.0,0.3333333333333333,0.6309297535714575,1.0,0.2,0.6309297535714575,1.0,0.1,0.6309297535714575,PASS
q_0108,hybrid,1.0,1.0,0.197282999579329,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0110,hybrid,1.0,1.0,0.2112769998348085,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0111,hybrid,0.5,1.0,0.2090509997287881,0.0,0.0,0.0,1.0,0.3333333333333333,0.6309297535714575,1.0,0.2,0.6309297535714575,1.0,0.1,0.6309297535714575,PASS
q_0112,hybrid,0.25,1.0,0.2509770001779543,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.430676558073393,1.0,0.1,0.430676558073393,PASS
q_0113,hybrid,0.5,1.0,0.2508570005375077,0.0,0.0,0.0,1.0,0.3333333333333333,0.6309297535714575,1.0,0.2,0.6309297535714575,1.0,0.1,0.6309297535714575,PASS
q_0114,hybrid,0.125,1.0,0.2022549997491296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.3154648767857287,RERANKING_FAILURE
q_0116,hybrid,1.0,1.0,0.189397999747598,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
q_0117,hybrid,1.0,1.0,0.2610150004329625,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,PASS
