section,dataset,metric,value
query_datasets,sample_user_queries.csv,rows,90000.0
query_datasets,sample_user_queries.csv,exact_duplicate_rows,0.0
query_datasets,sample_user_queries.csv,unique_queries,90000.0
query_datasets,sample_user_queries.csv,normalized_patterns,74219.0
query_datasets,sample_user_queries.csv,normalized_pattern_ratio,0.8246555555555556
query_datasets,sample_user_queries.csv,largest_pattern_share,0.0007444444444444445
query_datasets,sample_user_queries.csv,median_pattern_frequency,1.0
query_datasets,intent_router_dataset.csv,rows,240000.0
query_datasets,intent_router_dataset.csv,exact_duplicate_rows,0.0
query_datasets,intent_router_dataset.csv,unique_queries,240000.0
query_datasets,intent_router_dataset.csv,normalized_patterns,183422.0
query_datasets,intent_router_dataset.csv,normalized_pattern_ratio,0.7642583333333334
query_datasets,intent_router_dataset.csv,largest_pattern_share,0.000725
query_datasets,intent_router_dataset.csv,median_pattern_frequency,1.0
query_datasets,intent_router_challenge.csv,rows,36000.0
query_datasets,intent_router_challenge.csv,exact_duplicate_rows,0.0
query_datasets,intent_router_challenge.csv,unique_queries,36000.0
query_datasets,intent_router_challenge.csv,normalized_patterns,20102.0
query_datasets,intent_router_challenge.csv,normalized_pattern_ratio,0.5583888888888889
query_datasets,intent_router_challenge.csv,largest_pattern_share,0.0019166666666666666
query_datasets,intent_router_challenge.csv,median_pattern_frequency,1.0
entity_datasets,hotels.csv,rows,180000.0
entity_datasets,hotels.csv,exact_duplicate_rows,0.0
entity_datasets,hotels.csv,duplicate_names,12161.0
entity_datasets,hotels.csv,unique_names,167839.0
entity_datasets,hotels.csv,name_unique_ratio,0.9324388888888889
entity_datasets,hotels.csv,name_skeleton_patterns,56944.0
entity_datasets,hotels.csv,name_skeleton_ratio,0.31635555555555556
entity_datasets,hotels.csv,largest_name_skeleton_share,0.00045555555555555556
entity_datasets,attractions.csv,rows,90000.0
entity_datasets,attractions.csv,exact_duplicate_rows,0.0
entity_datasets,attractions.csv,duplicate_names,7140.0
entity_datasets,attractions.csv,unique_names,82860.0
entity_datasets,attractions.csv,name_unique_ratio,0.9206666666666666
entity_datasets,attractions.csv,name_skeleton_patterns,79564.0
entity_datasets,attractions.csv,name_skeleton_ratio,0.8840444444444444
entity_datasets,attractions.csv,largest_name_skeleton_share,0.00012222222222222221
entity_datasets,restaurants.csv,rows,90000.0
entity_datasets,restaurants.csv,exact_duplicate_rows,0.0
entity_datasets,restaurants.csv,duplicate_names,0.0
entity_datasets,restaurants.csv,unique_names,90000.0
entity_datasets,restaurants.csv,name_unique_ratio,1.0
entity_datasets,restaurants.csv,name_skeleton_patterns,34291.0
entity_datasets,restaurants.csv,name_skeleton_ratio,0.38101111111111113
entity_datasets,restaurants.csv,largest_name_skeleton_share,0.00023333333333333333
