loss,mean_q
7.03028678894043,0.026270009577274323
7.136954307556152,0.0010022749193012714
6.830794334411621,-0.0060723572969436646
7.249410629272461,-0.010518520139157772
7.979450225830078,-0.0030578323639929295
8.703875541687012,-0.03158046305179596
5.775272846221924,-0.03611825406551361
6.041913986206055,-0.05302615091204643
6.2853569984436035,-0.06856516748666763
7.452183246612549,-0.06731992214918137
6.073729515075684,-0.06051613762974739
6.70936393737793,-0.11425009369850159
7.460692405700684,-0.12121967226266861
7.702596664428711,-0.11491396278142929
6.843409538269043,-0.12867046892642975
8.063823699951172,-0.1365923136472702
6.204070568084717,-0.1545088291168213
8.17838191986084,-0.17089810967445374
6.426247596740723,-0.18565528094768524
6.238051414489746,-0.1692003309726715
7.3371148109436035,-0.1881769895553589
5.140567302703857,-0.20323215425014496
5.95491886138916,-0.23659154772758484
6.121131896972656,-0.23603525757789612
5.5471978187561035,-0.2375107854604721
7.710869312286377,-0.2627182602882385
6.439932823181152,-0.2609134316444397
5.965877532958984,-0.3036499321460724
6.870166301727295,-0.32411015033721924
6.9911298751831055,-0.3343905210494995
7.0309858322143555,-0.3369118571281433
7.0632171630859375,-0.35225436091423035
6.263919830322266,-0.35392096638679504
7.091460227966309,-0.3956092298030853
7.444295883178711,-0.4059707820415497
6.194971084594727,-0.42051517963409424
5.334410667419434,-0.4425150156021118
6.959720611572266,-0.46488505601882935
6.83083438873291,-0.4905811846256256
7.53720760345459,-0.5125634074211121
6.077771186828613,-0.5237827897071838
6.264197826385498,-0.5387371778488159
6.953547477722168,-0.5653246641159058
6.43992805480957,-0.5876230597496033
7.3097405433654785,-0.5905466675758362
6.532128810882568,-0.6407535076141357
5.204859733581543,-0.6460723280906677
6.941390514373779,-0.7106329202651978
6.2791032791137695,-0.6970971822738647
6.663962364196777,-0.7381756901741028
6.18412971496582,-0.7593871355056763
6.941959857940674,-0.7613545656204224
6.239264011383057,-0.8096106648445129
5.924210548400879,-0.7933118343353271
5.960965633392334,-0.8493759036064148
5.357932090759277,-0.8848992586135864
5.1647725105285645,-0.9264163970947266
7.06038236618042,-0.9534807205200195
6.387816905975342,-0.9694627523422241
4.953643321990967,-0.9948071837425232
5.888552665710449,-1.0586843490600586
5.456907272338867,-1.060249924659729
5.321274757385254,-1.083587646484375
5.735531330108643,-1.1206094026565552
5.778590202331543,-1.1609493494033813
6.262692451477051,-1.1460355520248413
5.738877296447754,-1.2517722845077515
5.467541217803955,-1.239183783531189
6.160763740539551,-1.307283639907837
5.729394912719727,-1.3258477449417114
6.420999526977539,-1.3884073495864868
5.1136322021484375,-1.3745836019515991
4.802216053009033,-1.4296445846557617
6.225044250488281,-1.4808650016784668
4.443290710449219,-1.545201063156128
6.022823333740234,-1.5940476655960083
5.649374961853027,-1.6357362270355225
5.567133903503418,-1.6092774868011475
4.69012451171875,-1.691299319267273
4.961966037750244,-1.7640787363052368
5.204346179962158,-1.7533819675445557
4.893073558807373,-1.7807021141052246
4.540914058685303,-1.8066558837890625
6.40140962600708,-1.946330189704895
4.183512210845947,-1.935290813446045
4.805929183959961,-2.016817808151245
4.91043758392334,-2.0562961101531982
4.503167152404785,-2.138925790786743
