episode_return,episode_cost
-138.38866373021872,134.1584604483974
-206.04214395466394,194.05716510213847
-225.85145258563625,213.13041338555183
-190.37020656755757,177.7006495440728
-209.84549305036123,197.81348798775136
-130.82666439047907,122.46702421962436
-82.8112295316814,79.07286885481024
-134.19865791016989,125.58899688950461
-207.97061895961986,195.80134177681168
-162.71301389331651,157.20599583493845
-198.56332793111633,187.7078590507582
-223.4546287544932,211.73295971677263
-159.08895197782616,150.6983801036286
-196.25918911546026,191.23977034310812
-169.85500844403524,161.45692121863087
-123.09867651232767,114.92566696284823
-198.58155780713338,187.84673903389603
-164.80715710770227,157.86188963389435
-134.61745265275167,129.47047414533614
-184.40000974831244,174.56236403338693
-184.60900435508762,178.12599109326277
-172.3201500579011,164.2574135760381
-205.68309958379336,194.14292557191862
-131.22011540830303,125.83528421518004
-184.85752493441248,179.42622254900536
-212.34013565340715,198.7720758918843
-161.866250750675,152.5233813943101
-105.24111988610181,99.89550049610396
-214.95974520043862,207.53304925949936
-161.90396225309627,152.30263642400155
-176.26098351917423,169.04132363594675
-148.2664041602797,140.82684625660977
-149.7624815252826,139.3316778511616
-220.76339999986055,208.11506637107863
-222.17106612428285,211.48299512319963
-116.44447877353161,112.16178721763751
-191.12576124918456,182.329880348725
-89.99203391074616,84.94233698500311
-205.2437875409853,197.32353864296334
-137.7303356767944,128.33133275420062
-213.50906890536314,204.57242341709866
-242.8205517839782,228.05770058547432
-160.54510658259986,154.6775679244257
-176.80407650935177,167.25576244518606
-137.43607772134592,132.6114030940477
-221.40324833333548,207.80485792823728
-223.98239992221986,207.53169425000831
-209.45326958552684,196.84536047398225
-143.43385854658487,139.18104340293587
-155.50150777099125,150.07359084175988
-175.47785336500283,169.50808848147233
-149.30260797032355,142.9949109788648
-94.02227652112241,91.06581047692062
-188.97879448995212,179.46594807679887
-214.39199810392435,203.93003171314288
-114.86904967485918,108.37526632006721
-173.77363522733242,165.79748261265172
-138.07449302355036,135.6839551398278
-157.51387982010428,147.9252714234009
-152.10188397828358,146.14446429988664
-179.20414719169827,172.80433944331182
-205.4971052277832,194.76119451870989
-220.74697932401926,207.7321816603473
-146.28770651345909,140.1123842334706
-171.56734077868717,164.93236144246282
-83.55755420738313,74.11691707016618
-127.21923628256826,121.33571896821171
-195.82554791447396,186.65564579577529
-148.62356109368804,143.4296408141991
-181.87924355001974,176.00119265280352
-122.30094105788793,115.41938040146013
-138.2702288627379,133.3875357823841
-101.40997684042591,95.37388657652295
-155.5780756421805,148.1961165750722
-133.167646723981,129.11985297410436
-88.78123027459014,84.63943777014924
-159.96834585784012,154.42323328071032
-177.06817830830886,171.5843804340017
-107.5781101646668,101.39170349964456
-98.03856502914418,92.39091348227856
-215.96141212277686,204.94838390297596
-105.28501644193949,103.4428148192045
-192.6296834226915,182.82131713742677
-175.30161842119918,169.31450143635035
-156.53688087833206,150.1040342050296
-200.74842820283865,190.63963270526224
-163.79694084401052,151.6211006574145
-201.97996977479,190.555851979264
-220.27071549454277,208.82356818057974
-161.6707973091457,154.29304561066854
-210.54813478838005,201.49042153851477
-202.52286713311497,194.05096309298546
-211.3170464260256,200.08570700423667
-194.6623204463769,183.51494562471174
-145.40178352570393,140.59807074397244
-135.9237035254287,131.96434108668566
-214.7244917372337,199.3841917457013
-171.58673696073424,165.2053888895119
-162.76844989671628,153.3439832106863
-173.49586283995302,164.11857508637294
-110.07579221224964,103.53844040025
-199.44890884112326,184.79980798307506
-128.33914512229285,123.10904334133009
-205.803109589199,197.39243341806363
-151.5365230428224,144.91773593114547
-123.07092102552315,116.67842109153885
-127.27965989867707,120.92518537223705
-149.05324632480472,144.68716865416272
-190.78364317818043,183.73370259752087
-206.79804795554156,198.53035370540746
-178.79576922217498,171.62290389136407
-209.43361918462634,200.10120494814058
-151.1014259942106,144.02259143483272
-120.88067008878934,113.92582716895369
-192.14568112708903,182.4375460052749
-109.76650905126778,103.34713221711627
-179.00860917072643,174.3504438323871
-183.19869585637696,173.57981627957835
-120.03547835046447,112.97535829477233
-168.15288274827134,161.65120630095367
-198.7798858108917,190.31385293932246
-181.00213417034607,173.28059574457686
-213.7591116014947,204.37001310213176
-210.70775153033136,201.57743694071297
-152.2493307634029,145.09658509566813
-167.0440827298797,159.27290560411478
-169.0339460429769,162.9822813729169
-162.3732914073341,154.58138864811414
-205.78602109045482,192.4490676915282
-211.4990227909753,201.9644774835578
-146.27633819930912,139.77621650399158
-215.4451032186651,201.29923378057018
-110.1897047497432,107.83577183034886
-216.91681829213556,206.45314230333375
-145.21714441536915,139.98511382207155
-232.99908200204726,218.36087245596843
-218.43347764971006,203.44049309442042
-148.70993193412903,139.709223947942
-108.35816549490966,103.71557231872156
-223.8992473696243,213.67717498655296
-216.15575119270662,205.97263908411566
-186.00930908856645,177.41928659944483
-167.61079583328004,159.94824406843537
-135.579610536079,128.93896781964452
-127.1621862059438,118.93067549361409
-149.03462797972207,144.18499267003867
-171.39913966128321,164.14185140164304
-175.20600976189533,167.50943678710343
-118.45210484548073,115.09904848330707
-67.93377590224459,63.1786004165188
-202.35732327350166,194.2745049111743
-201.12525027014502,191.62165214010366
-193.62048013557657,183.14690046073886
-129.53638641746383,123.10890615098302
-139.08862729815104,132.88774069954212
-191.91419132720398,181.63072349234932
-174.5925989995209,168.99832134934852
-180.0773351132321,171.41947886832563
-122.1336022349037,115.390276780996
-109.27226367735251,102.75435502518638
-98.4273526609051,91.41837698518394
-151.32120632601325,141.55748731856002
-182.62386299929418,178.14584678078265
-187.4881491263907,181.68279511045702
-211.28327480762215,201.44409025995105
-84.75146439360066,81.01976240307039
