dataset,city,rows
hotels.csv,Amsterdam,3000
hotels.csv,Athens,3000
hotels.csv,Barcelona,3000
hotels.csv,Belgrade,3000
hotels.csv,Berlin,3000
hotels.csv,Bologna,3000
hotels.csv,Bratislava,3000
hotels.csv,Brussels,3000
hotels.csv,Bucharest,3000
hotels.csv,Budapest,3000
hotels.csv,Cologne,3000
hotels.csv,Copenhagen,3000
hotels.csv,Dublin,3000
hotels.csv,Dubrovnik,3000
hotels.csv,Edinburgh,3000
hotels.csv,Florence,3000
hotels.csv,Gdansk,3000
hotels.csv,Geneva,3000
hotels.csv,Hamburg,3000
hotels.csv,Helsinki,3000
hotels.csv,Innsbruck,3000
hotels.csv,Istanbul,3000
hotels.csv,Krakow,3000
hotels.csv,Lisbon,3000
hotels.csv,Ljubljana,3000
hotels.csv,London,3000
hotels.csv,Luxembourg,3000
hotels.csv,Lyon,3000
hotels.csv,Madrid,3000
hotels.csv,Malta,3000
hotels.csv,Marseille,3000
hotels.csv,Milan,3000
hotels.csv,Munich,3000
hotels.csv,Naples,3000
hotels.csv,Nice,3000
hotels.csv,Nicosia,3000
hotels.csv,Oslo,3000
hotels.csv,Paris,3000
hotels.csv,Porto,3000
hotels.csv,Prague,3000
hotels.csv,Reykjavik,3000
hotels.csv,Riga,3000
hotels.csv,Rome,3000
hotels.csv,Salzburg,3000
hotels.csv,Sarajevo,3000
hotels.csv,Seville,3000
hotels.csv,Skopje,3000
hotels.csv,Sofia,3000
hotels.csv,Split,3000
hotels.csv,Stockholm,3000
hotels.csv,Tallinn,3000
hotels.csv,Thessaloniki,3000
hotels.csv,Tirana,3000
hotels.csv,Valencia,3000
hotels.csv,Venice,3000
hotels.csv,Vienna,3000
hotels.csv,Vilnius,3000
hotels.csv,Warsaw,3000
hotels.csv,Zagreb,3000
hotels.csv,Zurich,3000
restaurants.csv,Amsterdam,1500
restaurants.csv,Athens,1500
restaurants.csv,Barcelona,1500
restaurants.csv,Belgrade,1500
restaurants.csv,Berlin,1500
restaurants.csv,Bologna,1500
restaurants.csv,Bratislava,1500
restaurants.csv,Brussels,1500
restaurants.csv,Bucharest,1500
restaurants.csv,Budapest,1500
restaurants.csv,Cologne,1500
restaurants.csv,Copenhagen,1500
restaurants.csv,Dublin,1500
restaurants.csv,Dubrovnik,1500
restaurants.csv,Edinburgh,1500
restaurants.csv,Florence,1500
restaurants.csv,Gdansk,1500
restaurants.csv,Geneva,1500
restaurants.csv,Hamburg,1500
restaurants.csv,Helsinki,1500
restaurants.csv,Innsbruck,1500
